ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","1721345601","Ações Estrategicas do PETI","R$72.000,00","R$78.000,00","R$78.000,00","108.33"
"","2421020300","Aquisisão de Ônibus Escolares - Caminho da Escola/PAR","R$0,00","R$230.210,00","R$230.210,00","0.00"
"","1721335532","Assistência Financeira Complementar - ACE - 95 Por Cento","R$116.000,00","R$188.806,80","R$188.806,80","162.76"
"","1721335219","Assistência Financeira Complementar - ACS - 95%","R$1.520.000,00","R$1.533.573,60","R$1.533.573,60","100.89"
"","1721995300","Auxílio Financeiro Municípios - Lei 12.859/2013 AFM","R$200.000,00","R$0,00","R$0,00","0.00"
"","1722995412","Banefícios Eventuais - BE","R$8.400,00","R$0,00","R$0,00","0.00"
"","1721335201","Bloco de Atenção Básica - PAB","R$1.371.000,00","R$1.371.084,00","R$1.371.084,00","100.00"
"","1130020000","CONTRIBUIÇÃO DE MELHORIA PARA EXPANSÃO DA REDE DE ILUMINAÇÃO PÚBLICA NA CIDADE","R$300.000,00","R$788.884,79","R$788.884,79","262.96"
"","1721010300","Cota Parte do FPM - 1% - Cota Dezembro","R$1.100.000,00","R$1.281.452,66","R$1.281.452,66","116.49"
"","1721010400","Cota Parte do FPM - 1% - Cota Julho","R$0,00","R$1.322.118,43","R$1.322.118,43","0.00"
"","1722011300","Cota-parte da Cide","R$35.200,00","R$98.596,65","R$98.596,65","280.10"
"","1721222000","Cota-parte da Compensação Financeira de Recursos Minerais - Cfem","R$140.000,00","R$111.795,24","R$111.795,24","79.85"
"","1721010200","Cota-parte do Fpm","R$28.000.000,00","R$28.830.826,81","R$28.830.826,81","102.96"
"","1722010100","Cota-parte do ICMS","R$6.900.000,00","R$6.673.702,37","R$6.673.702,37","96.72"
"","1722010400","Cota-parte do IPI Sobre Exportação","R$78.000,00","R$79.346,37","R$79.346,37","101.72"
"","1722010200","Cota-parte do Ipva","R$845.600,00","R$956.977,78","R$956.977,78","113.17"
"","1721010500","Cota-parte do Itr","R$19.200,00","R$13.716,28","R$13.716,28","71.43"
"","1721227000","Cota-parte Fep - Fundo Especial do Petróleo","R$329.300,00","R$334.958,37","R$334.958,37","101.71"
"","1721225000","Cota-parte Royalties Participação Especial – Lei Nº 9.478/97, Artigo 50","R$26.900,00","R$21.012,37","R$21.012,37","78.11"
"","9721010200","Dedução de 20% Fpm - Para O Fundeb","-R$5.820.000,00","-R$5.766.165,01","-R$5.766.165,01","99.07"
"","9722010100","Dedução de 20% Icms - Para O Fundeb","-R$1.380.000,00","-R$1.334.740,30","-R$1.334.740,30","96.72"
"","9721360000","Dedução de 20% Icms Deson. Lc 87/96 - Para O Fundeb","-R$5.400,00","-R$4.775,76","-R$4.775,76","88.44"
"","9722010200","Dedução de 20% Ipva - Para O Fundeb","-R$169.100,00","-R$191.394,82","-R$191.394,82","113.18"
"","9721010500","Dedução de 20% Itr - Para O Fundeb","-R$3.800,00","-R$2.743,14","-R$2.743,14","72.18"
"","9722010400","Dedução de Receita Para Formação do Fundeb - Ipi Exportação","-R$15.600,00","-R$15.869,32","-R$15.869,32","101.72"
"","1721335405","FAEC AIH - Cirurgias Eletivas - Componente Único","R$0,00","R$1.642,16","R$1.642,16","0.00"
"","1722995300","Fcba - Fundo de Cultura da Bahia","R$195.100,00","R$0,00","R$0,00","0.00"
