ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","171812110800","Ações do COVID no SUAS para Acolhimento – Portaria 369","R$0,00","R$84.000,00","R$84.000,00","0.00"
"","171812110700","Ações do COVID no SUAS para Alimentos – Portaria 369","R$0,00","R$14.490,00","R$14.490,00","0.00"
"","171812110600","Ações do COVID no SUAS para EPI – Portaria 369","R$0,00","R$50.925,00","R$50.925,00","0.00"
"","171899110600","Ações Emergenciais de Apoio ao Setor Cultural – Lei Aldir Blanc","R$0,00","R$388.189,48","R$388.189,48","0.00"
"","171803910100","Ações para o Enfrentamento da Emergência de Saúde em Decorrência do Corona Vírus (COVID-19)","R$0,00","R$4.444.093,42","R$4.444.093,42","0.00"
"","222000110000","Alienação de Bens Imóveis - Principal","R$500.000,00","R$0,00","R$0,00","0.00"
"","171899110400","Apoio Financeiro aos Municípios – LC 173/2020, artigo 5°, I","R$0,00","R$733.145,95","R$733.145,95","0.00"
"","171899110500","Apoio Financeiro aos Municípios – LC 173/2020, artigo 5°, II","R$0,00","R$3.849.067,98","R$3.849.067,98","0.00"
"","171899110300","Apoio Financeiro MP 938/2020 - Recomposição do Fundo de Participação dos Municípios (FPM)","R$0,00","R$2.543.686,05","R$2.543.686,05","0.00"
"","171805910100","Apoio Suplementar a Manutenção da Educação Infantil - Brasil Carinhoso","R$0,00","R$19.632,71","R$19.632,71","0.00"
"","171812110400","Bloco da Gestão do Programa Bolsa Família e do Cadastro Único","R$356.445,00","R$370.562,58","R$370.562,58","103.96"
"","171812110100","Bloco da Proteção Social Básica","R$408.207,00","R$437.396,55","R$437.396,55","107.15"
"","171812110200","Bloco da Proteção Social Especial de Média Complexidade","R$0,00","R$116.906,61","R$116.906,61","0.00"
"","171812110500","Bloco do Programa","R$465.434,00","R$117.852,00","R$117.852,00","25.32"
"","172807102000","Cofinanciamento do Bloco de Proteção Social Básica","R$93.658,00","R$87.066,00","R$87.066,00","92.96"
"","172807104000","Cofinanciamento do Bloco de Proteção Social Especial de Alta Complexidade","R$20.335,00","R$30.600,00","R$30.600,00","150.47"
"","172807103000","Cofinanciamento do Bloco de Proteção Social Especial de Média Complexidade","R$58.531,00","R$51.840,00","R$51.840,00","88.56"
"","172807101000","Concessão de Beneficios Eventuais","R$13.086,00","R$0,00","R$0,00","0.00"
"","124000110000","Contribuição para o Custeio do Serviço de Iluminação Pública - Principal","R$2.022.148,00","R$2.411.209,12","R$2.411.209,12","119.23"
"","171802210000","Cota-parte da Compensação Financeira de Recursos Minerais - CFEM - Principal","R$266.249,00","R$250.616,16","R$250.616,16","94.12"
"","172801410000","Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal","R$43.367,00","R$38.147,95","R$38.147,95","87.96"
"","171801310000","Cota-Parte do Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal","R$1.550.990,00","R$1.442.818,86","R$1.442.818,86","93.02"
"","171801410000","Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho - Principal","R$1.508.308,00","R$1.445.894,97","R$1.445.894,97","95.86"
"","171801210000","Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal","R$36.141.483,00","R$32.056.415,21","R$32.056.415,21","88.69"
"","171802610000","Cota-Parte do Fundo Especial do Petróleo – FEP - Principal","R$627.088,00","R$515.655,72","R$515.655,72","82.23"
"","172801110000","Cota-Parte do ICMS - Principal","R$8.048.447,00","R$7.353.353,52","R$7.353.353,52","91.36"
"","171801510000","Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal","R$19.479,00","R$15.927,20","R$15.927,20","81.76"
"","172801310000","Cota-Parte do IPI - Municípios - Principal","R$74.383,00","R$70.809,21","R$70.809,21","95.19"
"","172801210000","Cota-Parte do IPVA - Principal","R$1.425.399,00","R$1.392.258,83","R$1.392.258,83","97.67"
"","171802310000","Cota-parte Royalties – Compensação Financeira pela Produção de Petróleo – Lei nº 7.990/89 - Principal","R$20.575,00","R$12.859,89","R$12.859,89","62.50"
"","971801210000","Dedução Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal","-R$7.228.297,00","-R$6.411.282,76","-R$6.411.282,76","88.69"
"","972801110000","Dedução Cota-Parte do ICMS - Principal","-R$1.609.689,00","-R$1.470.670,49","-R$1.470.670,49","91.36"
"","971801510000","Dedução Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal","-R$3.896,00","-R$3.185,33","-R$3.185,33","81.75"
"","972801310000","Dedução Cota-Parte do IPI - Municípios - Principal","-R$14.877,00","-R$13.978,55","-R$13.978,55","93.96"
"","972801210000","Dedução Cota-Parte do IPVA - Principal","-R$285.080,00","-R$278.450,90","-R$278.450,90","97.67"
"","971806110000","Dedução Transferência Financeira do ICMS – Desoneração – L.C. Nº 87/96 - Principal","-R$4.576,00","R$0,00","R$0,00","0.00"
"","172899110100","FCBA - Fundo de Cultura da Bahia","R$19.240,00","R$0,00","R$0,00","0.00"
"","111801130000","Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa","R$130.122,00","R$243.157,17","R$243.157,17","186.86"
"","111801120000","Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros","R$18.608,00","R$39.780,92","R$39.780,92","213.78"
"","111801110000","Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","R$280.228,00","R$106.601,88","R$106.601,88","38.04"
"","111303410000","Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal","R$1.374.428,00","R$1.425.585,78","R$1.425.585,78","103.72"
"","111303110000","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","R$79.996,00","R$88.931,32","R$88.931,32","111.16"
"","111802330000","Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa","R$25.500,00","R$25.497,30","R$25.497,30","99.98"
"","111802310000","Imposto sobre Serviços de Qualquer Natureza - Principal","R$2.600.649,00","R$2.361.894,01","R$2.361.894,01","90.81"
"","111801410000","Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal","R$254.853,00","R$406.385,02","R$406.385,02","159.45"
"","171812110900","Incremento Temporario ao Bloco da Protecao Social Basica para Acoes de Combate ao COVID-19","R$0,00","R$596.812,96","R$596.812,96","0.00"
"","171812111000","Incremento Temporario ao Bloco da Protecao Social Especial para Acoes de Combate ao COVID-19","R$0,00","R$114.800,00","R$114.800,00","0.00"
"","191007110000","Multas Aplicadas pelos Tribunais de Contas - Principal","R$21.210,00","R$84.288,54","R$84.288,54","397.40"
"","199099110100","Outras Receitas - Primárias -Principal - Prefeitura","R$500,00","R$824,08","R$824,08","164.81"
"","192299110100","Outras Restituições - Principal - PREFEITURA","R$5.000,00","R$66.582,22","R$66.582,22","1331.64"
"","112802919900","Outras Taxas pela Prestação de Serviços","R$43.746,00","R$52.909,70","R$52.909,70","120.94"
"","241810910100","Pavimentação e Drenagem de Via Pública","R$350.000,00","R$0,00","R$0,00","0.00"
"","172810210100","PETE - Programa Estadual de Transporte Escolar da Bahia","R$260.000,00","R$0,00","R$0,00","0.00"
"","171810310100","Projeto Trabalho Social - MCMV","R$0,00","R$21.687,92","R$21.687,92","0.00"
"","172803110100","PSF - Estado","R$376.452,00","R$244.500,00","R$244.500,00","64.94"
"","241810110100","Reforma de Unidades de Atenção Especializada em Saúde","R$0,00","R$179.124,00","R$179.124,00","0.00"
"","132100110304","Remuneração de Depósitos Bancários -  Convênios da União destinados a Assistência Social","R$100,00","R$10,16","R$10,16","10.16"
"","132100111100","Remuneração de Depósitos Bancários - ALIENAÇÃO DE BENS","R$5.200,00","R$8.371,09","R$8.371,09","160.98"
"","132100111300","Remuneração de Depósitos Bancários - Cessão Onerosa","R$0,00","R$4.786,82","R$4.786,82","0.00"
"","132100111000","Remuneração de Depósitos Bancários - FIES","R$120,00","R$27,57","R$27,57","22.97"
"","132100111400","Remuneração de Depósitos Bancários - LC 173, Inciso I","R$0,00","R$235,24","R$235,24","0.00"
"","132100111600","Remuneração de Depósitos Bancários - Lei Aldir Blanc","R$0,00","R$87,63","R$87,63","0.00"
"","132100110401","Remuneração de Depósitos Bancários - OUTROS CONVÊNIOS UNIÃO","R$41.619,00","R$27.556,84","R$27.556,84","66.21"
"","132100110501","Remuneração de Depósitos Bancários - RECURSOS NÃO VINCULADOS - PREFEITURA","R$17.406,00","R$4.384,50","R$4.384,50","25.18"
"","132100110301","Remuneração de Depósitos Bancários - Recursos Tesouro - Assistência","R$100,00","R$13,00","R$13,00","13.00"
"","132100110105","Remuneração de Depósitos Bancários - Recursos Vinculados a Educação - Transferência do FNDE","R$7.065,00","R$2.479,71","R$2.479,71","35.09"
"","132100110203","Remuneração de Depósitos Bancários - Recursos Vinculados a Saúde - CONVÊNIOS","R$527,00","R$407,88","R$407,88","77.39"
"","132100110800","Remuneração de Depósitos Bancários - Recursos Vinculados CIDE","R$387,00","R$189,78","R$189,78","49.03"
"","132100110900","Remuneração de Depósitos Bancários - Recursos Vinculados FCBA","R$731,00","R$67,82","R$67,82","9.27"
"","132100110700","Remuneração de Depósitos Bancários - Recursos Vinculados ROYALTIES","R$451,00","R$1.318,68","R$1.318,68","292.39"
"","132100110201","Remuneração de Depósitos Bancários - Saúde - FMS - Aplicação 15","R$841,00","R$278,96","R$278,96","33.17"
"","132100110202","Remuneração de Depósitos Bancários - Transferência do SUS","R$37.236,00","R$8.510,29","R$8.510,29","22.85"
"","132100110302","Remuneração de Depósitos Bancários - Transferência FNAS","R$14.749,00","R$3.568,11","R$3.568,11","24.19"
"","132100110303","Remuneração de Depósitos Bancários - Transferências do FEAS","R$13.990,00","R$1.068,58","R$1.068,58","7.63"
"","132100110102","Remuneração de Depósitos Bancários de Recursos Vinculados a Educação (25) MDE","R$137,00","R$92,56","R$92,56","67.56"
"","132100110103","Remuneração de Depósitos Bancários de Recursos Vinculados a Educação- QSE","R$3.367,00","R$1.073,93","R$1.073,93","31.89"
"","132100110101","Remuneração de Depósitos de Recursos Vinculados a Educação - FUNDEB","R$24.527,00","R$10.267,75","R$10.267,75","41.86"
"","172801510100","REN - Fundo de Rendimentos ICMS","R$2.062,00","R$341,45","R$341,45","16.55"
"","192206110000","Restituição de Despesas de Exercícios Anteriores - Principal","R$15.000,00","R$13.998,91","R$13.998,91","93.32"
