ï»¿"","Órgão","Cargo","Favorecido","Saída","Chegada","Destino","Qtd.","Diária","Total","Pgto.","Históricos","CNPJ","Ano","SqLiquidacao","ParentForm","SqDiaria","TpOrigem"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","11/02/2020","11/02/2020","SERRINHA/BA","1","160,00","160,00","10/03/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIAS PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA NO DIA 11 DE FEVEREIRO DE 2020 PARA PARTICIPAR DA REUNIÃO ORDINÁRIA AMPLIADA DA CIR E PARA A CIDADE DE SALVADOR/BA NO DIA 13 DE FEVEREIRO DE 2020 PARA PARTICIPAR DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DO COSEMS/BA, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","233","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","13/02/2020","13/02/2020","SALVADOR/BA","1","240,00","240,00","10/03/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIAS PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA NO DIA 11 DE FEVEREIRO DE 2020 PARA PARTICIPAR DA REUNIÃO ORDINÁRIA AMPLIADA DA CIR E PARA A CIDADE DE SALVADOR/BA NO DIA 13 DE FEVEREIRO DE 2020 PARA PARTICIPAR DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DO COSEMS/BA, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","233","frmCadLiqEmpenho","2","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","16/03/2020","16/03/2020","SALVADOR/BA","1","240,00","240,00","20/03/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIAS PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 16 DE MARÇO DE 2020 PARA PARTICIPAR DA REUNIÃO NA COORDENAÇÃO DE URGÊNCIA - COUR DA SECRETARIA DE SAÚDE DO ESTADO DA BAHIA PARA TRATAR DE ASSUNTOS REFERENTE A UPA DO MUNICIPIO, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","367","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","23/03/2020","24/03/2020","SALVADOR/BA","2","240,00","480,00","13/04/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIAS PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 23 E 24 DE MARÇO DE 2020 PARA PARTICIPAR DA REUNIÃO NA COORDENAÇÃO DE URGÊNCIA - COUR DA SECRETARIA DE SAÚDE DO ESTADO DA BAHIA PARA TRATAR DE ASSUNTOS REFERENTE A UPA DO MUNICIPIO, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","458","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","20/04/2020","20/04/2020","SALVADOR/BA","1","240,00","240,00","24/04/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETÁRIA DE SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 20 DE ABRIL DE 2020 PARA PARTICIPAR DE REUNIÃO NO GABINETE DO SECRETÁRIO DE SAÚDE DO ESTADO DA BAHIA PARA TRATAR DE ASSUNTOS REFERENTES AO MUNICIPIO, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","615","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","15/05/2020","15/05/2020","SALVADOR/BA","1","240,00","240,00","20/05/2020","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETÁRIA DE SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 15 DE MAIO DE 2020 PARA PARTICIPAR DE REUNIÃO NA COORDENAÇÃO DE PATRIMÔNIO - COPAT DA SECRETARIA DE SAÚDE DO ESTADO DA BAHIA PARA TRATAR DE ASSUNTOS REFERENTES AO MUNICIPIO, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","779","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","09/06/2020","09/06/2020","SALVADOR/BA","1","240,00","240,00","19/06/2020","LIQUIDADO PARA PAGAMENTO  O PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 09 DE JUNHO DE 2020, ONDE  COMPARECEU A ESTA ASSESSORIA  PARA TRATAR DE ASSUNTOS REFENTES AO MUNICIPIO SUPRACITADO, SECRETARIA DE SAÚDE DO ESTADO DA BAHIA, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","995","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","06/07/2020","06/07/2020","SALVADOR/BA","1","240,00","240,00","13/07/2020","LIQUIDADO PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 06 DE JUNHO DE 2020, ESTEVE NA COORDENAÇÃO DE CONTRATUALIZAÇÃO DOS ESTABELECIMENTOS SAUDE (SESAB/SUREGS/NUCON)  PARA TRATAR DE ASSUNTOS REFERENTES A CONTRATUALIZAÇÃO ENTRE A SESAB E O MUNICIPIO JUNTO A  SECRETARIA DE SAÚDE DO ESTADO DA BAHIA, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","1095","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","14/08/2020","14/08/2020","SALVADOR/BA","1","240,00","240,00","28/08/2020","LIQUIDADO PARA PAGAMENTO FACE A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 14 DE AGOSTO DE 2020, ONDE  COMPARECEU A ESTA COORDENAÇÃO  PARA TRATAR DE ASSUNTOS REFENTES A UPA DO MUNICIPIO JUNTO A SECRETARIA DE SAÚDE DO ESTADO DA BAHIA, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","1331","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SAÚDE","SECRETARIO(A) DE SAÚDE","MARIANA SANTANA DE P. C. DE A. BARRETO","05/10/2020","05/10/2020","SALVADOR/BA","1","240,00","240,00","23/10/2020","LIQUIDADO PARA PAGAMENTO  A DESPESA NA CONCESSÃO DE DIARIA PARA SRª MARIANA SANTANA P. C. DE A. BARRETO, SECRETARIA SAÚDE, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 05 DE OUTUBRO DE 2020, PARA PARTICIPAR DE REUNIAO COM A ASSESSORIA JURIDICA DO MUNICIPIO, NA SEDE DA LOBO FERRAZ.  CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2020","1690","frmCadLiqEmpenho","1","E"
